,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
0,The Chathams School District,168523,,,Verona Public School District
1,Great Meadows Regional School District,98996,,,West Essex Regional School District
2,Somerset Hills Regional School District,144712,,,West Essex Regional School District
3,Absecon City School District,63887,,,West Orange Public Schools
4,Allamuchy Township School District,90924,,,West Orange Public Schools
5,South Hunterdon Regional School District,93531,,,West Orange Public Schools
6,Allenhurst Borough School District,100781,,,West Orange Public Schools
7,Alloway Township School District,71648,,,West Orange Public Schools
8,Alpha Borough School District,68788,,,Upper Deerfield Township School District
9,Alpine Borough School District,118977,,,Vineland Public School District
10,Andover Regional School District,87340,,,Vineland City
11,Asbury Park City School District,39324,,,Vineland Public School District
12,Atlantic City School District,26006,,,Vineland Public School District
13,Audubon Borough School District,75136,,,Vineland Public School District
14,Avalon Borough School District,90000,,,Vineland Public School District
15,Avon-by-the-Sea Borough School District,78323,,,Vineland Public School District
16,Barrington Borough School District,72602,,,Vineland Public School District
17,Bay Head Borough School District,112188,,,Vineland Public School District
18,Bayonne City School District,56701,,,Vineland Public School District
19,Bedminster Township School District,104452,,,Vineland Public School District
20,Belleville Town School District,67292,,,Avalon School District
21,Belmar Borough School District,74942,,,Cape May City School District
22,Belvidere Town School District,51917,,,Cape May County Special Services School District
23,Bergenfield Borough School District,90962,,,Cape May County Special Services School District
24,Berkeley Heights Township School District,147614,,,Cape May County Technical High School District
25,Berlin Township School District,59122,,,Cape May County Technical High School District
26,Bernards Township School District,137855,,,Cape May County Technical High School District
27,Beverly City School District,48583,,,Dennis Township School District
28,Bloomfield Township School District,74961,,,Lower Cape May Regional School District
29,Bloomingdale Borough School District,80516,,,Lower Cape May Regional School District
30,Bloomsbury Borough School District,80536,,,Lower Township Elementary School District
31,Bogota Borough School District,79356,,,Lower Township Elementary School District
32,Boonton Town School District,91055,,,Lower Township Elementary School District
33,Boonton Township School District,136125,,,Lower Township Elementary School District
34,Bordentown Regional School District,82655,,,Middle Township Public School District
35,Bound Brook Borough School District,65199,,,Middle Township Public School District
36,Bradley Beach Borough School District,61209,,,Middle Township Public School District
37,Branchburg Township School District,129237,,,Middle Township Public School District
38,Brick Township School District,73051,,,North Wildwood School District
39,Bridgeton City School District,34135,,,Ocean City School District
40,Bridgewater-Raritan Regional School District,113883,,,Ocean City School District
41,Brielle Borough School District,133493,,,Ocean City School District
42,Brigantine City School District,65724,,,Stone Harbor School District
43,Brooklawn Borough School District,62697,,,Upper Township School District
44,Buena Regional School District,56931,,,Upper Township School District
45,Burlington City School District,50709,,,West Cape May Elementary School District
46,Burlington Township School District,81738,,,Wildwood City School District
47,Butler Borough School District,96474,,,Wildwood City School District
48,Caldwell-West Caldwell School District,95536,,,Wildwood City School District
49,Camden City School District,26105,,,Haddonfield School District
50,Cape May Point Borough School District,46964,,,Laurel Springs School District
51,Carteret Borough School District,73892,,,Lawnside School Distric
52,Cedar Grove Township School District,115926,,,Lindenwold Public School District
53,Cherry Hill Township School District,97069,,,Lindenwold Public School District
54,Chesilhurst Borough School District,52000,,,Lindenwold Public School District
55,Cinnaminson Township School District,97993,,,Lindenwold Public School District
56,Clark Township School District,100192,,,Magnolia School District
57,Clayton Borough School District,65595,,,Merchantville School District
58,Clementon Borough School District,52634,,,Mt. Ephraim School District
59,Cliffside Park Borough School District,67799,,,Mt. Ephraim School District
60,Clifton City School District,74963,,,Oaklyn Public School District
61,Collingswood Borough School District,64885,,,Pennsauken Township Board Of Education School District
62,Commercial Township School District,38750,,,Pennsauken Township Board Of Education School District
63,Corbin City School District,65313,,,Pennsauken Township Board Of Education School District
64,Cranbury Township School District,138906,,,Pennsauken Township Board Of Education School District
65,Cranford Township School District,122848,,,Pennsauken Township Board Of Education School District
66,Cresskill Borough School District,136250,,,Pennsauken Township Board Of Education School District
67,Deal Borough School District,78194,,,Pennsauken Township Board Of Education School District
68,Delanco Township School District,79778,,,Pennsauken Township Board Of Education School District
69,Delran Township School District,94321,,,Pine Hill School District
70,Dennis Township School District,67024,,,Pine Hill School District
71,Deptford Township School District,67983,,,Pine Hill School District
72,Dover Town School District,64058,,,Pine Hill School District
73,Downe Township School District,48011,,,Runnemede Public School District
74,Dumont Borough School District,94617,,,Runnemede Public School District
75,Dunellen Borough School District,78447,,,Runnemede Public School District
76,East Brunswick Township School District,105959,,,Somerdale School District
77,East Newark Borough School District,59313,,,Sterling Regional School District
78,East Orange City School District,41819,,,Stratford School District
79,East Windsor Regional School District,82890,,,Northern Burlington County Regional School District
80,Edgewater Borough School District,103505,,,Northern Burlington County Regional School District
81,Edgewater Park Township School District,65778,,,Palmyra Public School District
82,Edison Township School District,95622,,,Palmyra Public School District
83,Egg Harbor Township School District,78099,,,Pemberton Township School District
84,Elizabeth City School District,45186,,,Pemberton Township School District
85,Elmer Borough School District,76458,,,Haddon Heights School District
86,Elmwood Park Borough School District,76907,,,Haddon Heights School District
87,Elsinboro Township School District,73523,,,Haddon Heights School District
88,Emerson Borough School District,111536,,,Winslow Township School District
