,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
0,The Chathams School District,168523,,,Verona Public School District
1,Great Meadows Regional School District,98996,,,West Essex Regional School District
2,Somerset Hills Regional School District,144712,,,West Orange Public Schools
3,Absecon City School District,63887,,,Upper Deerfield Township School District
4,Allamuchy Township School District,90924,,,Vineland Public School District
5,South Hunterdon Regional School District,93531,,,Vineland City
6,Allenhurst Borough School District,100781,,,Vineland Public School District
7,Alloway Township School District,71648,,,Avalon School District
8,Alpha Borough School District,68788,,,Cape May City School District
9,Alpine Borough School District,118977,,,Cape May County Special Services School District
10,Andover Regional School District,87340,,,Dennis Township School District
11,Asbury Park City School District,39324,,,Lower Cape May Regional School District
12,Atlantic City School District,26006,,,Lower Township Elementary School District
13,Audubon Borough School District,75136,,,Middle Township Public School District
14,Avalon Borough School District,90000,,,North Wildwood School District
15,Avon-by-the-Sea Borough School District,78323,,,Ocean City School District
16,Barrington Borough School District,72602,,,Ocean City School District
17,Bay Head Borough School District,112188,,,Stone Harbor School District
18,Bayonne City School District,56701,,,Upper Township School District
19,Bedminster Township School District,104452,,,West Cape May Elementary School District
20,Belleville Town School District,67292,,,Wildwood City School District
21,Belmar Borough School District,74942,,,Haddonfield School District
22,Belvidere Town School District,51917,,,Laurel Springs School District
23,Bergenfield Borough School District,90962,,,Lawnside School Distric
24,Berkeley Heights Township School District,147614,,,Lindenwold Public School District
25,Berlin Township School District,59122,,,Magnolia School District
26,Bernards Township School District,137855,,,Merchantville School District
27,Beverly City School District,48583,,,Mt. Ephraim School District
28,Bloomfield Township School District,74961,,,Oaklyn Public School District
29,Bloomingdale Borough School District,80516,,,Pennsauken Township Board Of Education School District
30,Bloomsbury Borough School District,80536,,,Pine Hill School District
31,Bogota Borough School District,79356,,,Runnemede Public School District
32,Boonton Town School District,91055,,,Somerdale School District
33,Boonton Township School District,136125,,,Sterling Regional School District
34,Bordentown Regional School District,82655,,,Stratford School District
35,Bound Brook Borough School District,65199,,,Northern Burlington County Regional School District
36,Bradley Beach Borough School District,61209,,,Palmyra Public School District
37,Branchburg Township School District,129237,,,Pemberton Township School District
38,Brick Township School District,73051,,,Haddon Heights School District
39,Bridgeton City School District,34135,,,Winslow Township School District
40,Bridgewater-Raritan Regional School District,113883,,,Woodlynne School District
41,Brielle Borough School District,133493,,,Bass River Township Board Of Education
42,Brigantine City School District,65724,,,Beverly City School
43,Brooklawn Borough School District,62697,,,Willingboro Public School District
44,Buena Regional School District,56931,,,Woodland Township School District
45,Burlington City School District,50709,,,Allendale Public School District
46,Burlington Township School District,81738,,,Alpine Elementary School District
47,Butler Borough School District,96474,,,Bergen County Special Services School District
48,Caldwell-West Caldwell School District,95536,,,Fair Lawn Public School District
49,Camden City School District,26105,,,Fairview Public School District
50,Cape May Point Borough School District,46964,,,Fort Lee School District
51,Carteret Borough School District,73892,,,Edgewater School District
52,Cedar Grove Township School District,115926,,,Elmwood Park School District
53,Cherry Hill Township School District,97069,,,Emerson Public School District
54,Chesilhurst Borough School District,52000,,,Englewood Public School District
55,Cinnaminson Township School District,97993,,,Edgewater Park Township School District
56,Clark Township School District,100192,,,Evesham Township School District
57,Clayton Borough School District,65595,,,Florence Township School District
58,Clementon Borough School District,52634,,,Hainesport Township School District
59,Cliffside Park Borough School District,67799,,,Lenape Regional High School District
60,Clifton City School District,74963,,,Medford Township School District
61,Collingswood Borough School District,64885,,,Moorestown Township Public School District
62,Commercial Township School District,38750,,,Mount Holly Township Public School District
63,Corbin City School District,65313,,,Mount Laurel Township School District
64,Cranbury Township School District,138906,,,Pemberton Township School District
65,Cranford Township School District,122848,,,Rancocas Valley Regional High School District
66,Cresskill Borough School District,136250,,,Riverside Township School District
67,Deal Borough School District,78194,,,Riverton School District
68,Delanco Township School District,79778,,,Shamong Township School District
69,Delran Township School District,94321,,,Shamong Township School District
70,Dennis Township School District,67024,,,Southampton Township School District
71,Deptford Township School District,67983,,,Springfield Township School District
72,Dover Town School District,64058,,,Tabernacle Township School District
73,Downe Township School District,48011,,,Tabernacle Township School District
74,Dumont Borough School District,94617,,,Westampton Township Public School District
75,Dunellen Borough School District,78447,,,Willingboro Public School District
76,East Brunswick Township School District,105959,,,Haddon Township School District
77,East Newark Borough School District,59313,,,Bridgeton City School District
78,East Orange City School District,41819,,,Irvington Public School District
79,East Windsor Regional School District,82890,,,Franklin Lakes School District
80,Edgewater Borough School District,103505,,,Garfield Public School District
81,Edgewater Park Township School District,65778,,,Glen Rock Public School District
82,Edison Township School District,95622,,,Hackensack School District
83,Egg Harbor Township School District,78099,,,Harrington Park School District
84,Elizabeth City School District,45186,,,Hasbrouck Heights School District
85,Elmer Borough School District,76458,,,Haworth Public School District
86,Elmwood Park Borough School District,76907,,,Hillsdale School District
87,Elsinboro Township School District,73523,,,Hillsdale School District
88,Emerson Borough School District,111536,,,Hillsdale School District
89,Englewood City School District,80670,,,Ho-Ho-Kus School District
90,Englewood Cliffs Borough School District,134629,,,Leonia Public School District
