Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,7109,ESSEX,9734502002,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"ONE CLARA MAASS DRIVE BELLEVILLE, NJ 07109"
310010,PENN MEDICINE PRINCETON MEDICAL CENTER,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,MIDDLESEX,8664604776,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"ONE PLAINSBORO ROAD PLAINSBORO, NJ 08536"
310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,CAPE MAY,6094632000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"TWO STONE HARBOR BLVD CAPE MAY COURT HOUSE, NJ 08210"
310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,MONMOUTH,7327412700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE RIVERVIEW PLAZA RED BANK, NJ 07701"
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,8901,MIDDLESEX,7329378525,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE ROBERT WOOD JOHNSON PLACE NEW BRUNSWICK, NJ 08901"
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,MERCER,6093034000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,"ONE CAPITAL WAY PENNINGTON, NJ 08534"
310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,ESSEX,9734296000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"BAY AND HIGHLAND AVE MONTCLAIR, NJ 07042"
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,7754,MONMOUTH,7327755500,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1945 RTE 33 NEPTUNE, NJ 07754"
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,MERCER,6095867900,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE HAMILTON HEALTH PLACE HAMILTON, NJ 08690"
310041,COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,8755,OCEAN,7325578000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"99 RT 37 WEST TOMS RIVER, NJ 08755 (39.965083, -74.21449)"
