,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
0,10,ABSECON CITY,50,EMMA C ATTALES,05-08,10-50
1,10,ABSECON CITY,60,H ASHTON MARSH,PK-04,10-60
2,110,ATLANTIC CITY,10,ATLANTIC CITY HIGH SCHOOL,09-12,110-10
3,110,ATLANTIC CITY,30,SOVEREIGN AVENUE SCHOOL,PK-08,110-30
4,110,ATLANTIC CITY,50,CHELSEA HEIGHTS SCHOOL,PK-08,110-50
5,110,ATLANTIC CITY,60,TEXAS AVENUE SCHOOL,KG-08,110-60
6,110,ATLANTIC CITY,70,NEW YORK AVENUE SCHOOL,PK-08,110-70
7,110,ATLANTIC CITY,80,UPTOWN SCHOOL COMPLEX,PK-08,110-80
8,110,ATLANTIC CITY,100,PENNSYLVANIA AVE SCHOOL,PK-08,110-100
9,110,ATLANTIC CITY,120,RICHMOND AVENUE SCHOOL,PK-08,110-120
10,110,ATLANTIC CITY,130,VENICE PARK SCHOOL,PK-PK,110-130
11,110,ATLANTIC CITY,140,DR MARTIN LUTHER KING JR SCHOOL COMPLEX,PK-08,110-140
12,110,ATLANTIC CITY,300,BRIGHTON AVENUE SCHOOL,PK-05,110-300
13,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,09-12,120-10
14,120,ATLANTIC CO VOCATIONAL,300,ATLANTIC COUNTY ALTERNATIVE HIGH SCHOOL,09-12,120-300
15,125,ATLANTIC CO SPECIAL SERV,30,ATLANTIC COUNTY ELEMENTARY AND MIDDLE SCHOOLS,PK-08,125-30
16,125,ATLANTIC CO SPECIAL SERV,60,ATLANTIC COUNTY HIGH SCHOOL,09-12,125-60
17,570,BRIGANTINE CITY,10,BRIGANTINE ELEMENTARY SCHOOL,PK-04,570-10
18,570,BRIGANTINE CITY,30,BRIGANTINE NORTH MIDDLE SCHOOL,05-08,570-30
19,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,09-12,590-25
20,590,BUENA REGIONAL,30,BUENA REGIONAL MIDDLE SCHOOL,06-08,590-30
21,590,BUENA REGIONAL,45,COLLINGS LAKES ELEMENTARY SCHOOL,KG-02,590-45
22,590,BUENA REGIONAL,55,JOHN C. MILANESI ELEMENTARY SCHOOL,PK-02,590-55
23,590,BUENA REGIONAL,300,DR. J.P. CLEARY ELEMENTARY SCHOOL,03-05,590-300
24,1300,EGG HARBOR CITY,20,CHARLES L. SPRAGG SCHOOL,PK-03,1300-20
25,1300,EGG HARBOR CITY,30,EGG HARBOR CITY COMMUNITY SCHOOL,04-08,1300-30
26,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,09-12,1310-5
27,1310,EGG HARBOR TWP,33,CLAYTON J. DAVENPORT ELEMENTARY SCHOOL,PK-03,1310-33
28,1310,EGG HARBOR TWP,35,E. H. SLAYBAUGH ELEMENTARY SCHOOL,PK-03,1310-35
29,1310,EGG HARBOR TWP,38,ALDER AVENUE MIDDLE SCHOOL,06-08,1310-38
30,1310,EGG HARBOR TWP,39,FERNWOOD AVENUE MIDDLE SCHOOL,06-08,1310-39
31,1310,EGG HARBOR TWP,45,DR. JOYANNE D. MILLER ELEMENTARY SCHOOL,04-05,1310-45
32,1310,EGG HARBOR TWP,50,H. RUSSEL SWIFT ELEMENTARY SCHOOL,PK-03,1310-50
33,1410,ESTELL MANOR CITY,50,ESTELL MANOR ELEMENTARY SCHOOL,KG-08,1410-50
34,1540,FOLSOM BORO,50,FOLSOM ELEMENTARY SCHOOL,PK-08,1540-50
35,1690,GALLOWAY TWP,15,ARTHUR RANN ELEMENTARY SCHOOL,KG-06,1690-15
36,1690,GALLOWAY TWP,16,GALLOWAY TOWNSHIP MIDDLE SCHOOL,07-08,1690-16
37,1690,GALLOWAY TWP,40,POMONA PRESCHOOL,PK-PK,1690-40
38,1690,GALLOWAY TWP,45,REEDS ROAD ELEMENTARY SCHOOL,KG-06,1690-45
39,1690,GALLOWAY TWP,46,ROLAND ROGERS ELEMENTARY SCHOOL,KG-06,1690-46
40,1690,GALLOWAY TWP,48,SMITHVILLE ELEMENTARY SCHOOL,PK-06,1690-48
41,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,09-12,1790-40
42,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,09-12,1790-50
43,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,09-12,1790-60
44,1940,HAMILTON TWP,55,GEORGE L. HESS EDUCATIONAL COMPLEX,PK-05,1940-55
45,1940,HAMILTON TWP,60,JOSEPH C SHANER MEMORIAL ELEMENTARY SCHOOL,PK-02,1940-60
46,1940,HAMILTON TWP,120,WILLIAM DAVIES MIDDLE SCHOOL,06-08,1940-120
47,1960,HAMMONTON TOWN,30,HAMMONTON EARLY CHILDHOOD EDUCTIONAL CENTER,PK-01,1960-30
48,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,09-12,1960-50
49,1960,HAMMONTON TOWN,55,WARREN E. SOOY JR. ELEMENTARY SCHOOL,PK-05,1960-55
50,1960,HAMMONTON TOWN,60,HAMMONTON MIDDLE SCHOOL,06-08,1960-60
51,2680,LINWOOD CITY,20,BELHAVEN MIDDLE SCHOOL,05-08,2680-20
52,2680,LINWOOD CITY,50,SEAVIEW ELEMENTARY SCHOOL,PK-05,2680-50
53,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,09-12,2910-50
54,3020,MARGATE CITY,10,EUGENE A. TIGHE MIDDLE SCHOOL,05-08,3020-10
55,3020,MARGATE CITY,25,WILLIAM H. ROSS III SCHOOL,PK-04,3020-25
56,3480,MULLICA TWP,20,MULLICA TOWNSHIP PRIMARY SCHOOL,PK-04,3480-20
57,3480,MULLICA TWP,25,MULLICA TOWNSHIP MIDDLE SCHOOL,05-08,3480-25
58,3720,NORTHFIELD CITY,56,NORTHFIELD COMMUNITY MIDDLE SCHOOL,05-08,3720-56
59,3720,NORTHFIELD CITY,57,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,PK-04,3720-57
60,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,09-12,4180-50
61,4180,PLEASANTVILLE CITY,55,PLEASANTVILLE MIDDLE SCHOOL,06-08,4180-55
62,4180,PLEASANTVILLE CITY,60,WASHINGTON AVENUE ELEMENTARY SCHOOL,KG-05,4180-60
63,4180,PLEASANTVILLE CITY,80,LEEDS AVENUE ELEMENTARY SCHOOL,PK-05,4180-80
64,4180,PLEASANTVILLE CITY,85,NORTH MAIN STREET ELEMENTARY SCHOOL,PK-05,4180-85
65,4180,PLEASANTVILLE CITY,95,SOUTH MAIN STREET ELEMENTARY SCHOOL,PK-05,4180-95
66,4180,PLEASANTVILLE CITY,100,DECATUR AVENUE EARLY CHILDHOOD CENTER,PK-PK,4180-100
67,4240,PORT REPUBLIC CITY,50,PORT REPUBLIC ELEMENTARY SCHOOL,KG-08,4240-50
68,4800,SOMERS POINT CITY,50,DAWES AVENUE ELEMENTARY SCHOOL,KG-06,4800-50
69,4800,SOMERS POINT CITY,55,JORDAN ROAD ELEMENTARY SCHOOL,KG-08,4800-55
70,4800,SOMERS POINT CITY,60,NEW YORK AVENUE ELEMENTARY SCHOOL,PK-PK,4800-60
71,5350,VENTNOR CITY,40,VENTNOR MIDDLE SCHOOL,05-08,5350-40
72,5350,VENTNOR CITY,45,VENTNOR ELEMENTARY SCHOOL,PK-04,5350-45
73,5760,WEYMOUTH TWP,20,WEYMOUTH TOWNSHIP ELEMENTARY SCHOOL,PK-08,5760-20
74,40,ALLENDALE BORO,10,BROOKSIDE SCHOOL,04-08,40-10
75,40,ALLENDALE BORO,20,HILLSIDE ELEMENTARY SCHOOL,PK-03,40-20
76,80,ALPINE BORO,10,ALPINE ELEMENTARY SCHOOL,KG-08,80-10
77,285,BERGEN CO SPECIAL SERVICE,2,N. A. BLESHMAN REGIONAL DAY SCHOOL,PK-12,285-2
78,285,BERGEN CO SPECIAL SERVICE,30,HEARING IMPAIRED,PK-12,285-30
79,285,BERGEN CO SPECIAL SERVICE,40,MULTIPLY HANDICAPED,PK-12,285-40
80,285,BERGEN CO SPECIAL SERVICE,50,EMOTIONALLY DISTURBED,PK-12,285-50
81,285,BERGEN CO SPECIAL SERVICE,70,LIFE SKILLS,KG-12,285-70
82,285,BERGEN CO SPECIAL SERVICE,100,AUTISTIC,PK-12,285-100
83,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,09-12,290-20
84,290,BERGEN COUNTY VOCATIONAL,30,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,09-12,290-30
85,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,09-12,290-70
86,290,BERGEN COUNTY VOCATIONAL,75,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,09-12,290-75
87,290,BERGEN COUNTY VOCATIONAL,300,APPLIED TECHNOLOGY HIGH SCHOOL,09-12,290-300
