,DISTRICT_CODE,EXPENSE
0,10,13309
1,110,18081
2,120,13083
3,125,13083
4,570,22829
5,590,17135
6,1300,17560
7,1310,14641
8,1410,17690
9,1540,13813
10,1690,15951
11,1790,17242
12,1940,12835
13,1960,11767
14,2680,15412
15,2910,18274
16,3020,27850
17,3480,14506
18,3720,14110
19,4180,19472
20,4240,16224
21,4800,16218
22,5350,18624
23,5760,18721
24,40,15487
25,80,30213
26,285,30213
27,290,25681
28,300,15849
29,440,15390
30,740,16202
31,745,21604
32,890,13524
33,930,15425
34,990,13984
35,1070,25307
36,1130,14913
37,1230,16914
38,1270,12109
39,1345,11236
40,1360,15546
41,1370,18158
42,1380,19791
43,1450,16097
44,1470,10581
45,1550,14984
46,1580,23165
47,1700,17388
48,1760,16433
49,1860,15808
50,2050,18191
51,2080,14377
52,2090,19406
53,2180,16992
54,2200,15075
55,2620,15627
56,2710,14241
57,2740,12635
58,2860,14694
59,2900,17872
60,3060,13142
61,3170,19878
62,3330,14625
63,3350,17669
64,3550,16056
65,3600,12454
66,3700,17530
67,3710,20842
68,3730,15700
69,3740,13852
70,3760,17839
71,3850,16152
72,3870,13663
73,3910,13880
74,3930,18146
75,3940,20249
76,3960,19742
77,4300,18084
78,4310,17716
79,4370,20948
80,4380,14288
81,4390,15124
82,4405,17000
83,4410,13830
84,4430,16162
85,4470,16165
86,4600,14302
87,4610,15973
88,4620,29335
89,4845,29335
90,4870,17395
91,5150,20778
92,5160,16407
93,5330,17184
94,5410,16129
95,5430,12206
96,5755,16662
97,5830,13072
98,5880,17475
99,5920,16786
100,200,21390
101,380,16788
102,475,13652
103,600,18599
104,605,18599
105,610,16840
106,620,14074
107,830,11598
108,840,15305
109,1030,15057
110,1060,12975
111,1250,14149
112,1280,14200
113,1420,15336
114,1520,13635
115,1910,13325
116,2610,17859
117,2850,15056
118,2960,16562
119,3010,14721
120,3070,12451
121,3080,15181
122,3360,16200
123,3430,16666
124,3440,14275
125,3540,22810
126,3650,16018
127,3690,13689
128,3920,15488
129,4050,20013
130,4320,13571
131,4450,13860
132,4460,14314
133,4740,15571
134,4930,16759
135,5010,19098
136,5130,17974
137,5720,11753
138,5805,15360
139,5890,17373
140,150,14029
141,190,14696
142,260,11801
143,330,12458
144,340,16832
145,390,15172
146,580,14166
147,680,24735
148,700,20836
149,800,14242
150,880,15940
151,940,15460
152,1255,14850
153,1720,16168
154,1770,16725
155,1780,13721
156,1799,17881
157,1801,20018
158,1802,18766
159,1880,13990
160,1890,14467
161,1900,12369
162,2540,12962
163,2560,16260
164,2670,13611
165,2890,15325
166,3110,14646
167,3420,14054
168,3770,15671
169,4060,15047
170,4110,15847
171,4590,13379
172,4790,14260
