,DISTRICT_CODE,SCHOOL_CODE,SCH_RAT,DIST_RAT,DS_CODE
0,10,50,13:1,13:1,10-50
1,10,60,14:1,13:1,10-60
2,110,10,12:1,11:1,110-10
3,110,30,10:1,11:1,110-30
4,110,50,11:1,11:1,110-50
5,110,60,11:1,11:1,110-60
6,110,70,11:1,11:1,110-70
7,110,80,10:1,11:1,110-80
8,110,100,10:1,11:1,110-100
9,110,120,11:1,11:1,110-120
10,110,130,5:1,11:1,110-130
11,110,140,10:1,11:1,110-140
12,110,300,9:1,11:1,110-300
13,120,10,12:1,12:1,120-10
14,120,300,9:1,12:1,120-300
15,125,30,6:1,6:1,125-30
16,125,60,6:1,6:1,125-60
17,570,10,9:1,8:1,570-10
18,570,30,7:1,8:1,570-30
19,590,25,11:1,12:1,590-25
20,590,30,10:1,12:1,590-30
21,590,45,8:1,12:1,590-45
22,590,55,16:1,12:1,590-55
23,590,300,14:1,12:1,590-300
24,1300,20,12:1,11:1,1300-20
25,1300,30,10:1,11:1,1300-30
26,1310,5,12:1,12:1,1310-5
27,1310,33,15:1,12:1,1310-33
28,1310,35,17:1,12:1,1310-35
29,1310,38,11:1,12:1,1310-38
30,1310,39,12:1,12:1,1310-39
31,1310,45,12:1,12:1,1310-45
32,1310,50,12:1,12:1,1310-50
33,1410,50,11:1,11:1,1410-50
34,1540,50,10:1,10:1,1540-50
35,1690,15,10:1,11:1,1690-15
36,1690,16,12:1,11:1,1690-16
37,1690,40,11:1,11:1,1690-40
38,1690,45,10:1,11:1,1690-45
39,1690,46,10:1,11:1,1690-46
40,1690,48,12:1,11:1,1690-48
41,1790,40,11:1,11:1,1790-40
42,1790,50,11:1,11:1,1790-50
43,1790,60,12:1,11:1,1790-60
44,1940,55,12:1,12:1,1940-55
45,1940,60,14:1,12:1,1940-60
46,1940,120,12:1,12:1,1940-120
47,1960,30,11:1,14:1,1960-30
48,1960,50,14:1,14:1,1960-50
49,1960,55,14:1,14:1,1960-55
50,1960,60,14:1,14:1,1960-60
51,2680,20,11:1,11:1,2680-20
52,2680,50,11:1,11:1,2680-50
53,2910,50,11:1,11:1,2910-50
54,3020,10,7:1,7:1,3020-10
55,3020,25,7:1,7:1,3020-25
56,3480,20,13:1,13:1,3480-20
57,3480,25,11:1,13:1,3480-25
58,3720,56,9:1,10:1,3720-56
59,3720,57,10:1,10:1,3720-57
60,4180,50,10:1,11:1,4180-50
61,4180,55,10:1,11:1,4180-55
62,4180,60,11:1,11:1,4180-60
63,4180,80,13:1,11:1,4180-80
64,4180,85,11:1,11:1,4180-85
65,4180,95,11:1,11:1,4180-95
66,4180,100,3:1,11:1,4180-100
67,4240,50,8:1,8:1,4240-50
68,4800,50,9:1,9:1,4800-50
69,4800,55,8:1,9:1,4800-55
70,4800,60,10:1,9:1,4800-60
71,5350,40,9:1,10:1,5350-40
72,5350,45,10:1,10:1,5350-45
73,5760,20,8:1,8:1,5760-20
74,40,10,11:1,12:1,40-10
75,40,20,14:1,12:1,40-20
76,80,10,6:1,6:1,80-10
77,285,2,6:1,3:1,285-2
78,285,30,6:1,3:1,285-30
79,285,40,11:1,3:1,285-40
80,285,50,4:1,3:1,285-50
81,285,70,5:1,3:1,285-70
82,285,100,3:1,3:1,285-100
83,290,20,11:1,10:1,290-20
84,290,30,6:1,10:1,290-30
85,290,70,10:1,10:1,290-70
86,290,75,7:1,10:1,290-75
87,290,300,17:1,10:1,290-300
88,300,20,11:1,13:1,300-20
89,300,40,13:1,13:1,300-40
90,300,50,10:1,13:1,300-50
91,300,60,11:1,13:1,300-60
92,300,70,13:1,13:1,300-70
93,300,75,13:1,13:1,300-75
94,300,80,12:1,13:1,300-80
95,440,20,13:1,12:1,440-20
96,440,30,10:1,12:1,440-30
97,440,50,11:1,12:1,440-50
98,740,50,12:1,12:1,740-50
99,745,50,11:1,11:1,745-50
100,890,30,13:1,13:1,890-30
101,890,50,12:1,13:1,890-50
102,890,60,12:1,13:1,890-60
103,890,70,11:1,13:1,890-70
104,890,80,11:1,13:1,890-80
105,930,50,12:1,12:1,930-50
106,930,60,12:1,12:1,930-60
107,990,40,9:1,13:1,990-40
108,990,45,15:1,13:1,990-45
109,990,50,14:1,13:1,990-50
110,990,60,14:1,13:1,990-60
111,1070,30,8:1,9:1,1070-30
112,1070,40,9:1,9:1,1070-40
113,1070,50,8:1,9:1,1070-50
114,1130,40,12:1,12:1,1130-40
115,1130,50,12:1,12:1,1130-50
116,1130,60,11:1,12:1,1130-60
117,1130,70,11:1,12:1,1130-70
118,1130,80,12:1,12:1,1130-80
119,1230,40,9:1,11:1,1230-40
120,1230,80,13:1,11:1,1230-80
121,1270,50,12:1,14:1,1270-50
122,1270,300,14:1,14:1,1270-300
123,1345,50,14:1,14:1,1345-50
124,1345,60,14:1,14:1,1345-60
125,1345,70,12:1,14:1,1345-70
126,1345,80,19:1,14:1,1345-80
127,1345,90,12:1,14:1,1345-90
128,1360,50,8:1,10:1,1360-50
129,1360,60,11:1,10:1,1360-60
130,1360,70,11:1,10:1,1360-70
131,1370,40,12:1,11:1,1370-40
132,1370,60,10:1,11:1,1370-60
133,1370,70,8:1,11:1,1370-70
134,1370,76,9:1,11:1,1370-76
135,1370,86,13:1,11:1,1370-86
136,1380,40,7:1,8:1,1380-40
137,1380,60,7:1,8:1,1380-60
138,1450,50,12:1,12:1,1450-50
139,1450,60,11:1,12:1,1450-60
140,1450,70,9:1,12:1,1450-70
141,1450,80,12:1,12:1,1450-80
142,1450,85,9:1,12:1,1450-85
143,1450,100,10:1,12:1,1450-100
144,1450,110,12:1,12:1,1450-110
145,1450,140,12:1,12:1,1450-140
146,1450,160,8:1,12:1,1450-160
147,1470,60,13:1,16:1,1470-60
148,1470,65,18:1,16:1,1470-65
149,1470,80,23:1,16:1,1470-80
150,1550,50,12:1,13:1,1550-50
151,1550,60,13:1,13:1,1550-60
152,1550,70,10:1,13:1,1550-70
153,1550,80,13:1,13:1,1550-80
154,1550,90,13:1,13:1,1550-90
155,1550,100,12:1,13:1,1550-100
156,1580,15,8:1,8:1,1580-15
157,1580,20,8:1,8:1,1580-20
158,1580,30,9:1,8:1,1580-30
159,1580,40,7:1,8:1,1580-40
160,1700,40,11:1,11:1,1700-40
161,1700,50,11:1,11:1,1700-50
162,1700,60,12:1,11:1,1700-60
163,1700,70,11:1,11:1,1700-70
164,1700,80,11:1,11:1,1700-80
165,1700,86,13:1,11:1,1700-86
166,1700,100,12:1,11:1,1700-100
167,1700,120,11:1,11:1,1700-120
168,1700,130,12:1,11:1,1700-130
169,1700,205,9:1,11:1,1700-205
170,1700,301,3:1,11:1,1700-301
171,1700,302,11:1,11:1,1700-302
172,1760,50,10:1,12:1,1760-50
173,1760,60,10:1,12:1,1760-60
174,1760,65,14:1,12:1,1760-65
175,1760,70,14:1,12:1,1760-70
176,1760,80,14:1,12:1,1760-80
177,1760,90,15:1,12:1,1760-90
178,1860,50,14:1,14:1,1860-50
179,1860,90,13:1,14:1,1860-90
180,1860,100,16:1,14:1,1860-100
181,1860,110,14:1,14:1,1860-110
182,1860,120,14:1,14:1,1860-120
183,1860,300,12:1,14:1,1860-300
184,2050,50,12:1,12:1,2050-50
185,2080,50,11:1,13:1,2080-50
186,2080,55,10:1,13:1,2080-55
187,2080,60,11:1,13:1,2080-60
188,2080,80,12:1,13:1,2080-80
189,2090,50,10:1,10:1,2090-50
190,2180,10,9:1,10:1,2180-10
191,2180,20,9:1,10:1,2180-20
192,2180,30,9:1,10:1,2180-30
193,2200,50,12:1,12:1,2200-50
194,2620,50,10:1,11:1,2620-50
195,2620,55,11:1,11:1,2620-55
196,2620,60,10:1,11:1,2620-60
197,2710,30,7:1,12:1,2710-30
198,2710,50,27:1,12:1,2710-50
199,2740,50,13:1,13:1,2740-50
200,2740,60,15:1,13:1,2740-60
201,2740,65,14:1,13:1,2740-65
202,2740,67,13:1,13:1,2740-67
203,2740,80,16:1,13:1,2740-80
204,2740,90,15:1,13:1,2740-90
205,2740,100,15:1,13:1,2740-100
206,2860,50,10:1,12:1,2860-50
207,2860,60,17:1,12:1,2860-60
208,2860,70,17:1,12:1,2860-70
209,2860,80,12:1,12:1,2860-80
210,2860,90,12:1,12:1,2860-90
211,2860,110,14:1,12:1,2860-110
212,2860,120,12:1,12:1,2860-120
213,2860,300,10:1,12:1,2860-300
214,2900,50,9:1,10:1,2900-50
215,2900,60,11:1,10:1,2900-60
216,2900,65,12:1,10:1,2900-65
217,2900,75,10:1,10:1,2900-75
218,2900,76,11:1,10:1,2900-76
219,2900,80,10:1,10:1,2900-80
220,3060,60,13:1,13:1,3060-60
221,3060,70,13:1,13:1,3060-70
222,3170,50,9:1,9:1,3170-50
223,3170,70,7:1,9:1,3170-70
224,3170,300,11:1,9:1,3170-300
225,3330,20,10:1,11:1,3330-20
226,3330,30,13:1,11:1,3330-30
227,3350,60,11:1,11:1,3350-60
228,3550,50,12:1,12:1,3550-50
229,3550,60,14:1,12:1,3550-60
230,3550,70,14:1,12:1,3550-70
231,3550,85,13:1,12:1,3550-85
232,3600,50,11:1,13:1,3600-50
233,3600,60,15:1,13:1,3600-60
234,3600,70,17:1,13:1,3600-70
235,3600,80,14:1,13:1,3600-80
236,3600,90,13:1,13:1,3600-90
237,3700,50,12:1,12:1,3700-50
238,3710,50,11:1,10:1,3710-50
239,3710,60,11:1,10:1,3710-60
240,3710,300,5:1,10:1,3710-300
241,3730,50,11:1,11:1,3730-50
242,3740,20,12:1,12:1,3740-20
243,3760,40,9:1,10:1,3760-40
244,3760,50,11:1,10:1,3760-50
245,3760,60,9:1,10:1,3760-60
246,3760,80,10:1,10:1,3760-80
247,3850,30,9:1,10:1,3850-30
248,3850,60,10:1,10:1,3850-60
249,3870,50,12:1,12:1,3870-50
250,3910,50,12:1,12:1,3910-50
251,3910,70,12:1,12:1,3910-70
252,3910,80,12:1,12:1,3910-80
253,3930,50,11:1,11:1,3930-50
254,3930,60,9:1,11:1,3930-60
255,3930,65,12:1,11:1,3930-65
256,3930,80,12:1,11:1,3930-80
257,3930,90,10:1,11:1,3930-90
258,3930,100,10:1,11:1,3930-100
259,3930,110,12:1,11:1,3930-110
260,3930,130,10:1,11:1,3930-130
261,3940,50,9:1,10:1,3940-50
262,3940,60,10:1,10:1,3940-60
263,3940,70,14:1,10:1,3940-70
264,3960,40,11:1,11:1,3960-40
265,3960,50,12:1,11:1,3960-50
266,3960,300,12:1,11:1,3960-300
267,4300,30,10:1,10:1,4300-30
268,4300,50,10:1,10:1,4300-50
269,4310,50,9:1,11:1,4310-50
270,4310,55,10:1,11:1,4310-55
271,4310,60,10:1,11:1,4310-60
272,4310,70,11:1,11:1,4310-70
273,4310,80,11:1,11:1,4310-80
274,4370,50,10:1,10:1,4370-50
275,4370,65,8:1,10:1,4370-65
276,4370,90,11:1,10:1,4370-90
277,4370,100,11:1,10:1,4370-100
278,4380,50,14:1,14:1,4380-50
279,4380,60,12:1,14:1,4380-60
280,4380,70,13:1,14:1,4380-70
281,4380,80,15:1,14:1,4380-80
282,4380,300,17:1,14:1,4380-300
283,4390,50,13:1,13:1,4390-50
284,4390,60,13:1,13:1,4390-60
285,4390,70,12:1,13:1,4390-70
286,4390,80,7:1,13:1,4390-80
287,4390,85,14:1,13:1,4390-85
288,4390,90,13:1,13:1,4390-90
289,4390,100,14:1,13:1,4390-100
290,4390,110,13:1,13:1,4390-110
291,4390,120,12:1,13:1,4390-120
292,4390,130,13:1,13:1,4390-130
293,4405,50,12:1,12:1,4405-50
294,4405,60,12:1,12:1,4405-60
295,4410,30,11:1,12:1,4410-30
296,4410,50,15:1,12:1,4410-50
297,4430,50,10:1,12:1,4430-50
298,4430,60,10:1,12:1,4430-60
299,4430,70,15:1,12:1,4430-70
300,4470,50,10:1,10:1,4470-50
301,4600,50,11:1,12:1,4600-50
302,4600,70,13:1,12:1,4600-70
303,4600,80,12:1,12:1,4600-80
304,4600,100,10:1,12:1,4600-100
305,4600,110,12:1,12:1,4600-110
306,4610,50,12:1,12:1,4610-50
307,4610,80,14:1,12:1,4610-80
308,4610,85,12:1,12:1,4610-85
309,4610,90,11:1,12:1,4610-90
310,4610,100,8:1,12:1,4610-100
311,4620,50,8:1,8:1,4620-50
312,4845,50,5:1,6:1,4845-50
313,4845,60,7:1,6:1,4845-60
314,4845,70,6:1,6:1,4845-70
315,4870,50,12:1,12:1,4870-50
316,5150,50,10:1,10:1,5150-50
317,5150,60,10:1,10:1,5150-60
318,5150,70,9:1,10:1,5150-70
319,5150,80,12:1,10:1,5150-80
320,5150,110,10:1,10:1,5150-110
321,5150,130,11:1,10:1,5150-130
322,5150,150,10:1,10:1,5150-150
323,5160,50,11:1,12:1,5160-50
324,5160,70,11:1,12:1,5160-70
325,5160,80,11:1,12:1,5160-80
326,5160,90,11:1,12:1,5160-90
327,5160,95,11:1,12:1,5160-95
328,5160,100,11:1,12:1,5160-100
329,5330,50,11:1,11:1,5330-50
330,5330,60,11:1,11:1,5330-60
331,5330,70,9:1,11:1,5330-70
332,5410,30,9:1,10:1,5410-30
333,5410,40,11:1,10:1,5410-40
334,5410,50,11:1,10:1,5410-50
335,5410,70,9:1,10:1,5410-70
336,5430,50,13:1,13:1,5430-50
337,5430,55,13:1,13:1,5430-55
338,5430,60,10:1,13:1,5430-60
339,5755,50,11:1,11:1,5755-50
340,5755,60,11:1,11:1,5755-60
341,5755,62,10:1,11:1,5755-62
342,5755,65,11:1,11:1,5755-65
