GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
9700000US3400004,3400004,"The Chathams School District, New Jersey",6478,160,4884,156,4477,179,1594,159,1.1,0.7,0.2,0.3,0.2,0.4,3.8,2.4,0.4,0.4,0,0.7,0,0.7,1.6,1.5,3.5,1.3,0.6,0.6,0.6,0.5,12.3,4.9,2.5,1,1.2,0.7,0.7,0.6,6.4,3.2,5.6,1.4,4,1.8,2.7,1.3,14.1,4.3,8.7,1.8,5.8,1.8,5.3,2,19.9,5.2,7.3,1.5,7.5,2.1,5.3,1.7,6.7,3.3,16.7,2.7,14.6,2.8,14.5,2.9,20.9,5.3,9.9,1.9,10.7,2.1,10.7,2.2,7.7,3.4,44.3,2.8,55.4,3.7,60,3.6,6.5,2.9,168523,19053,219911,12475,234776,21858,66759,5467,255769,16741,304295,22164,N,N,90577,9967,26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.2,(X)
9700000US3400008,3400008,"Great Meadows Regional School District, New Jersey",3315,145,2215,150,1901,166,1100,206,2.8,1.8,0.8,1.3,0.9,1.5,6.9,4,1.1,0.9,0.3,0.4,0.3,0.5,2.7,2.6,4.2,2.2,2.1,1.5,1.6,1.5,9,5.5,3.5,2,0.9,0.8,0.5,0.5,8.8,5.7,8.5,3.4,6.5,3.3,3.8,2.5,15.6,8.9,18.6,4.6,17.2,5.5,17.3,5.9,21.5,9.2,12.1,3.6,10.7,3.8,8.8,3.8,14.2,6.7,26,4.9,32.9,6.4,34.8,7.4,12.6,6.3,13.5,4.1,17,5.1,19.8,5.7,5.5,5.9,9.7,2.9,11.7,4.5,12.1,4.7,3.1,2.7,98996,10276,119199,9000,121330,5859,56731,16333,108134,7454,123245,8996,N,N,68391,11611,26.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),28,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.6,(X)
9700000US3400009,3400009,"Somerset Hills Regional School District, New Jersey",3930,196,3116,139,2781,179,814,187,1.3,1.1,1,1.1,0.3,0.3,2.7,3.2,2,1.3,1.3,1.4,0.6,0.9,4.8,4.6,4.9,2.3,2.4,1.9,1.1,1.3,14.5,9.7,3.7,1.6,2,1.5,0.5,0.4,10.9,6.1,5.9,2.7,4.7,3,5.2,3.4,16.2,7.5,9.2,3.3,6.7,2.9,6.1,3.1,15.4,8.2,9.3,3.3,8.9,3.8,9.2,4.2,8.5,6.3,15.3,3.2,16.2,3.7,16.6,3.8,12,6.4,16.1,3.7,19.4,4.4,19.5,4.3,3.6,3.4,32.2,4.6,37.4,5.5,40.8,5.9,11.4,5.7,144712,20477,159896,11441,169970,29223,50833,17421,227110,23262,263604,28026,N,N,81471,14785,37.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),29.1,(X)
9700000US3400660,3400660,"Absecon City School District, New Jersey",3209,148,2338,138,1671,179,871,165,2.1,1.4,2.1,1.7,1.8,2,3.8,3.5,1,1,0.7,1.1,1,1.6,1.6,2.5,5.4,2.5,2.2,1.5,1.7,1.7,15.7,7.9,12.7,2.9,10.4,4,12.3,5.4,18.9,7.1,19,3.7,17.9,4.9,15.9,6.1,20.7,8.1,18.4,4.4,19.6,5.7,12.7,5.1,17.2,6.8,14.2,4,15,4.5,16,5.8,9.8,6,15.1,4,17.7,4.9,18.4,5.8,6.2,5,4.5,2.5,5.6,3.3,7.9,4.7,1.4,2.3,7.6,2.8,8.7,3.6,12.2,5,4.7,4.9,63887,10922,72571,5417,84185,13660,40250,4720,84901,7924,92150,9003,N,N,62137,16980,36,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X)
9700000US3400720,3400720,"Allamuchy Township School District, New Jersey",2125,118,1228,94,1113,97,897,137,3.1,2.9,0,2.6,0,2.9,7.4,6.9,0,1.5,0,2.6,0,2.9,0,3.6,3.3,2.1,0,2.6,0,2.9,7.8,5.1,5.2,2.4,3.4,2.6,3.1,2.5,7.7,5,11.7,3.9,4.9,4.2,4.9,4.4,21.7,8.2,18.7,4.9,15.2,5.5,11.7,5.1,24,7.9,11.2,3.7,14.2,4.8,13.1,4.9,7.1,4.7,25.8,5.7,27.2,7.2,28.5,7.8,22.7,9.3,9,2.9,14.4,4.9,15.9,5.3,1.6,2,12,4,20.7,7,22.8,7.8,0,3.6,90924,15263,119667,19462,126172,16723,53925,7274,114618,11883,149593,19709,N,N,65954,10509,23.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.4,(X)
9700000US3400769,3400769,"South Hunterdon Regional School District, New Jersey",3277,154,1972,123,1564,129,1305,199,8.3,3.9,6.4,4.9,0.3,0.5,11.3,7,1.8,1.3,0.2,0.3,0.3,0.4,4.2,3.3,5.4,3.5,0.2,0.3,0.3,0.4,13.2,8.1,6.1,2.3,4.7,2.4,2.6,2.1,8.2,3.8,5.2,2.3,5.9,3.1,4.9,2.6,4.8,3.4,15.6,4.8,16,6.4,15,7.5,14.6,6.1,10.9,3.3,8.5,3.9,9.7,4.7,14.1,5.9,20.4,3.8,22.3,4.9,24.9,6.1,17.5,7.1,9.6,3.3,13.2,3.6,15.2,4.6,4.3,6.4,16.8,3.6,22.6,5.7,27,7.1,7.8,4,93531,8599,116875,18017,132452,12205,67917,18212,116322,9458,137278,13298,N,N,82542,14863,29.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.7,(X)
9700000US3400780,3400780,"Allenhurst Borough School District, New Jersey",203,27,137,23,116,22,66,19,2.5,2.8,0.7,2.6,0.9,2.9,6.1,6.4,2,2.2,0,20.9,0,24.1,6.1,6.7,2,2,0,20.9,0,24.1,6.1,6.5,11.8,6.7,5.1,3.6,3.4,3.6,25.8,17.9,8.4,3.8,4.4,3.6,5.2,4.4,16.7,9.6,12.8,5.7,8.8,4.4,7.8,4.6,21.2,14.1,9.4,4,10.2,5.3,12.1,5.8,7.6,7.5,11.8,5.6,17.5,8.1,14.7,8.8,0,36.3,11.8,5,16.1,7.2,12.1,7.1,3,3.8,27.6,7.4,37.2,10.5,44,10.6,7.6,7.3,100781,20800,158750,34641,178333,50260,38750,11171,182087,34437,229301,45788,N,N,84082,40850,44.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),45.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),43.9,(X)
9700000US3400810,3400810,"Alloway Township School District, New Jersey",1239,94,961,68,860,95,278,101,4.7,4.2,5.3,5.5,2.7,4.2,12.6,14,0.6,1.2,0.8,1.6,0.9,1.8,0,11,5.4,4.6,7,5.9,7.8,6.5,0,11,7.4,5.5,2.7,4.3,3,4.7,23.7,19.9,13.6,6.5,5.4,3.2,1.9,2,36.7,23.6,20.3,7.3,21.2,8.2,20.9,8.7,16.9,14.3,8.4,3.9,7.9,4.3,8.8,4.8,5.4,6.6,19.7,6.5,25.4,8.2,28.4,9,0,11,12.3,5.6,14.6,6.9,16.3,7.6,4.7,7.7,7.5,4.1,9.7,5.4,9.3,5.6,0,11,71648,13666,96406,28704,109643,19989,40588,9341,98823,13572,111979,16741,N,N,47664,13780,26.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),9.7,(X)
9700000US3400840,3400840,"Alpha Borough School District, New Jersey",926,76,595,67,451,69,331,67,2.7,2,0,5.3,0,6.9,7.6,5.5,2.5,1.8,1.2,1.7,0,6.9,4.8,4.1,9.2,4.5,4.4,4.8,1.6,2,17.8,7.8,8.7,3.1,6.1,3,8,3.8,13.6,6.9,8.2,3.2,6.1,3.8,4.9,3.7,13,6.4,25.8,6.8,30.1,7.8,29.3,10.5,17.2,11.8,8.2,3.5,8.2,5,9.1,5.8,8.2,4.9,23.2,6.8,32.6,9.1,32.8,9.5,7.6,5.3,5.7,2.6,6.4,3.4,7.8,4.1,3.3,3.3,5.7,2.7,5,3.6,6.7,4.8,6.9,4.4,68788,6497,79688,22669,94464,27529,41563,13013,85093,7872,98377,11993,N,N,60094,9986,33,(X),(X),(X),(X),(X),(X),(X),(X),(X),29.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),36.6,(X)
9700000US3400870,3400870,"Alpine Borough School District, New Jersey",555,53,445,48,384,49,110,33,4.1,3.4,3.6,4,4.2,4.6,6.4,5,2.7,2,2.7,2.3,0.8,1.2,2.7,4.4,5.2,2.4,3.6,2,3.1,1.8,11.8,7.6,4.9,3.2,3.1,2.4,3.6,2.7,11.8,13.5,7.6,3.8,6.5,3.5,2.3,1.9,11.8,13.4,3.6,1.7,3.4,1.8,3.1,1.8,4.5,6.7,11.2,4.6,13,5.7,12.8,5.9,3.6,4.6,21.3,5.6,23.1,6.2,23.4,6.9,13.6,12.7,9.5,4.2,7.4,4.5,8.6,5.1,18.2,11.7,29.9,6.4,33.5,7.2,38,8.2,15.5,13.5,118977,20136,125486,13217,129722,29850,93125,77696,225158,46460,247731,55913,N,N,132545,52709,48.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),49.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),41.8,(X)
