CountyCode,CountyName,DistrictCode,DistrictName,Test,Subject,District_Avg,State_avg,Benchmark,BT_PCT,STATE_BT_PCT
01,ATLANTIC,0110,ATLANTIC CITY,ACT,English,19,24,18,55,78
01,ATLANTIC,0110,ATLANTIC CITY,ACT,Science,20,23,23,25,53
01,ATLANTIC,0110,ATLANTIC CITY,ACT,Math,21,24,22,45,62
01,ATLANTIC,0110,ATLANTIC CITY,ACT,Reading,21,24,22,45,62
01,ATLANTIC,0110,ATLANTIC CITY,PSAT,Reading and Writing,422,478,Grade 10: 430 Grade 11: 460,40,62
01,ATLANTIC,0110,ATLANTIC CITY,PSAT,Math,428,478,Grade 10: 480 Grade 11: 510,25,42
01,ATLANTIC,0110,ATLANTIC CITY,SAT,Math,509,543,530,42,54
01,ATLANTIC,0110,ATLANTIC CITY,SAT,Reading and Writing,512,542,480,58,72
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,ACT,Reading,19,24,22,32,62
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,ACT,English,19,24,18,60,78
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,ACT,Science,20,23,23,36,53
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,ACT,Math,22,24,22,56,62
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,PSAT,Reading and Writing,446,478,Grade 10: 430 Grade 11: 460,59,62
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,PSAT,Math,451,478,Grade 10: 480 Grade 11: 510,33,42
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,SAT,Math,505,543,530,37,54
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,SAT,Reading and Writing,515,542,480,65,72
01,ATLANTIC,0590,BUENA REGIONAL,ACT,English,21,24,18,79,78
01,ATLANTIC,0590,BUENA REGIONAL,ACT,Reading,22,24,22,64,62
01,ATLANTIC,0590,BUENA REGIONAL,ACT,Science,22,23,23,57,53
01,ATLANTIC,0590,BUENA REGIONAL,ACT,Math,23,24,22,57,62
01,ATLANTIC,0590,BUENA REGIONAL,PSAT,Reading and Writing,464,478,Grade 10: 430 Grade 11: 460,62,62
01,ATLANTIC,0590,BUENA REGIONAL,PSAT,Math,469,478,Grade 10: 480 Grade 11: 510,38,42
01,ATLANTIC,0590,BUENA REGIONAL,SAT,Math,527,543,530,51,54
01,ATLANTIC,0590,BUENA REGIONAL,SAT,Reading and Writing,527,542,480,73,72
01,ATLANTIC,1310,EGG HARBOR TWP,ACT,Science,22,23,23,47,53
01,ATLANTIC,1310,EGG HARBOR TWP,ACT,Math,23,24,22,60,62
01,ATLANTIC,1310,EGG HARBOR TWP,ACT,English,24,24,18,83,78
01,ATLANTIC,1310,EGG HARBOR TWP,ACT,Reading,24,24,22,72,62
01,ATLANTIC,1310,EGG HARBOR TWP,PSAT,Math,462,478,Grade 10: 480 Grade 11: 510,37,42
01,ATLANTIC,1310,EGG HARBOR TWP,PSAT,Reading and Writing,468,478,Grade 10: 430 Grade 11: 460,60,62
01,ATLANTIC,1310,EGG HARBOR TWP,SAT,Math,540,543,530,52,54
01,ATLANTIC,1310,EGG HARBOR TWP,SAT,Reading and Writing,546,542,480,79,72
01,ATLANTIC,1790,GREATER EGG HARBOR REG,ACT,Science,23,23,23,58,53
01,ATLANTIC,1790,GREATER EGG HARBOR REG,ACT,English,23,24,18,82,78
01,ATLANTIC,1790,GREATER EGG HARBOR REG,ACT,Math,23,24,22,63,62
01,ATLANTIC,1790,GREATER EGG HARBOR REG,ACT,Reading,24,24,22,70,62
01,ATLANTIC,1790,GREATER EGG HARBOR REG,PSAT,Math,457,478,Grade 10: 480 Grade 11: 510,34,42
01,ATLANTIC,1790,GREATER EGG HARBOR REG,PSAT,Reading and Writing,457,478,Grade 10: 430 Grade 11: 460,54,62
01,ATLANTIC,1790,GREATER EGG HARBOR REG,SAT,Math,522,543,530,48,54
01,ATLANTIC,1790,GREATER EGG HARBOR REG,SAT,Reading and Writing,526,542,480,70,72
01,ATLANTIC,1960,HAMMONTON TOWN,ACT,Science,20,23,23,35,53
01,ATLANTIC,1960,HAMMONTON TOWN,ACT,English,20,24,18,61,78
01,ATLANTIC,1960,HAMMONTON TOWN,ACT,Reading,21,24,22,35,62
01,ATLANTIC,1960,HAMMONTON TOWN,ACT,Math,22,24,22,48,62
01,ATLANTIC,1960,HAMMONTON TOWN,PSAT,Reading and Writing,455,478,Grade 10: 430 Grade 11: 460,55,62
01,ATLANTIC,1960,HAMMONTON TOWN,PSAT,Math,474,478,Grade 10: 480 Grade 11: 510,38,42
01,ATLANTIC,1960,HAMMONTON TOWN,SAT,Reading and Writing,534,542,480,73,72
01,ATLANTIC,1960,HAMMONTON TOWN,SAT,Math,543,543,530,57,54
01,ATLANTIC,2910,MAINLAND REGIONAL,ACT,Science,23,23,23,52,53
01,ATLANTIC,2910,MAINLAND REGIONAL,ACT,English,23,24,18,83,78
01,ATLANTIC,2910,MAINLAND REGIONAL,ACT,Reading,23,24,22,57,62
01,ATLANTIC,2910,MAINLAND REGIONAL,ACT,Math,24,24,22,66,62
01,ATLANTIC,2910,MAINLAND REGIONAL,PSAT,Math,494,478,Grade 10: 480 Grade 11: 510,49,42
01,ATLANTIC,2910,MAINLAND REGIONAL,PSAT,Reading and Writing,495,478,Grade 10: 430 Grade 11: 460,71,62
01,ATLANTIC,2910,MAINLAND REGIONAL,SAT,Math,557,543,530,63,54
01,ATLANTIC,2910,MAINLAND REGIONAL,SAT,Reading and Writing,558,542,480,80,72
01,ATLANTIC,4180,PLEASANTVILLE CITY,ACT,English,14,24,18,15,78
