COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,GRADESPAN,SUPERINTENDENT,ADDRESS,CITY_STATE_ZIP,PHONE,EMAIL,WEBSITE,FACEBOOK,TWITTER
01,ATLANTIC,0010,ABSECON CITY,PK-08,DR. DOOLEY,800 IRELAN AVENUE,ABSECON NJ 08201,(609)641-5375 Ext. 1012,DDOOLEY@ABSECONSCHOOLS.ORG,https://www.abseconschools.org/,,
01,ATLANTIC,0110,ATLANTIC CITY,PK-12,MR. CALDWELL,1300 ATLANTIC AVENUE,ATLANTIC CITY NJ 08401,(609)343-7200 Ext. 5003,BCALDWELL@ACBOE.ORG,https://www.acboe.org,,
01,ATLANTIC,0120,ATLANTIC CO VOCATIONAL,09-12,DR. GUENTHER,5080 ATLANTIC AVENUE,MAYS LANDING NJ 08330,(609)625-2249 Ext. 1000,PGUENTHER@ACITECH.ORG,https://www.acitech.org,https://www.facebook.com/Atlantic-County-Institute-of-Technology-1027293677301943/,https://twitter.com/ACIT_RedHawks
01,ATLANTIC,0125,ATLANTIC CO SPECIAL SERV,PK-12,DR. GUENTHER,4805 NAWAKWA BOULEVARD,MAYS LANDING NJ 08330,(609)625-5796,PGUENTHER@ACITECH.ORG,http://acsssd.net,,
01,ATLANTIC,0570,BRIGANTINE CITY,PK-08,DR. CAPPELLUTI,301 EAST EVANS BOULEVARD,BRIGANTINE NJ 08203,(609)266-7671,MCAPPELLUTI@BRIGANTINESCHOOLS.ORG,http://www.brigantineschools.org,https://www.facebook.com/BrigSchools-611160075744513/,https://twitter.com/brigschools
01,ATLANTIC,0590,BUENA REGIONAL,PK-12,MR. CAPPUCCIO,914 MAIN AVENUE,RICHLAND NJ 08350,(856)697-0800,DCAPPUCCIO@BUENA.K12.NJ.US,http://www.buena.k12.nj.us,https://www.facebook.com/BuenaRegionalSD/,https://twitter.com/BuenaRegionalSD
01,ATLANTIC,1300,EGG HARBOR CITY,PK-08,MRS. SHULBY,730 HAVANA AVENUE,EGG HARBOR CITY NJ 08215,(609)965-1034 Ext. 165,ASHULBY@EGGHARBORCITYSCHOOLS.COM,http://www.eggharborcityschools.com,https://www.facebook.com/Egg-Harbor-City-Public-School-District-424148781040050/,
01,ATLANTIC,1310,EGG HARBOR TWP,PK-12,DR. GRUCCIO,13 SWIFT DRIVE,EGG HARBOR TOWNSHIP NJ 08234,(609)646-7911 Ext. 1000,GRUCCIK@EHT.K12.NJ.US,http://eht.k12.nj.us/,https://www.facebook.com/EHTNJSchools/,https://twitter.com/EHTNJSchools
01,ATLANTIC,1410,ESTELL MANOR CITY,KG-08,MRS. ABRAHAM,128 CAPE MAY AVENUE,ESTELL MANOR NJ 08319-1735,(609)476-2267,DABRAHAM@ESTELLMANORSCHOOL.COM,http://www.estellmanorschool.com,http://www.EstellManorElementarySchool,http://twitter.com/emsmedia2267!
01,ATLANTIC,1540,FOLSOM BORO,PK-08,DR. MAZZONI,1357 MAYS LANDING ROAD,FOLSOM NJ 08037,(609)561-8666 Ext. 111,MMAZZONI@FOLSOMSCHOOL.ORG,https://www.folsomschool.org,https://www.facebook.com/folsomschool/,
