GEO.id,,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US07001,,ZCTA5 07001,68426,6822,87310,11916,93590,7732,33090,5992
8600000US07002,,ZCTA5 07002,56701,3179,66679,5658,82258,5823,38775,3794
8600000US07003,,ZCTA5 07003,74961,3004,89061,3475,106457,5560,50999,2368
8600000US07004,,ZCTA5 07004,107417,21207,130841,21658,133125,17309,39444,26232
8600000US07005,,ZCTA5 07005,109888,6300,126514,8040,142786,13868,57798,12427
8600000US07006,,ZCTA5 07006,114096,6925,146332,9920,160117,11602,49449,5543
8600000US07008,,ZCTA5 07008,73892,3652,78377,7193,86387,5652,36154,12150
8600000US07009,,ZCTA5 07009,115926,7190,142578,15535,151833,11189,46620,8811
8600000US07010,,ZCTA5 07010,67799,7665,82351,8177,98011,11421,41404,5525
8600000US07011,,ZCTA5 07011,56285,2920,64121,3697,75512,5546,31288,6189
8600000US07012,,ZCTA5 07012,86472,6098,110089,6827,114625,7288,47694,6394
8600000US07013,,ZCTA5 07013,93005,4331,110880,8538,121531,6541,39381,5536
8600000US07014,,ZCTA5 07014,96339,23035,107883,14117,108367,11472,73205,10662
8600000US07016,,ZCTA5 07016,122848,8604,139989,8470,148674,7352,48509,10234
8600000US07017,,ZCTA5 07017,41322,3668,54142,4506,74323,5014,27107,4248
8600000US07018,,ZCTA5 07018,42335,2838,51356,3406,78098,11031,26993,2699
8600000US07020,,ZCTA5 07020,103505,10646,128701,13056,137279,19281,76610,11742
8600000US07021,,ZCTA5 07021,198750,25539,208750,30770,219167,33535,74583,18527
8600000US07022,,ZCTA5 07022,56057,3131,63926,15422,79907,10766,31141,7454
8600000US07023,,ZCTA5 07023,132292,27290,155880,15438,169032,12670,56420,17219
